namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
report,waste_report,/report/reports/<int:org_pk>/list/waste/report,report.views.reports_org.DiscardShelfReportView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,reactive_report,/report/reports/<int:org_pk>/list/reactive/report,report.views.reports_org.ReactiveReport,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,risk_zone_report,/report/reports/<int:org_pk>/risk_zone/,report.views.reports_org.RiskZoneReport,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,reactive_stock_report,/report/reports/<int:org_pk>/reactive/stock/,report.views.reports_org.ReactiveStockReport,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,compatibility_report,/report/reports/<int:org_pk>/compatibility/,report.views.reports_org.CompatibilityReport,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,hazard_map_report,/report/reports/<int:org_pk>/hazard_map/,report.views.reports_org.HazardMapReport,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,hazard_map_visual,/report/reports/<int:org_pk>/hazard_map/visual/,report.views.riskzones.hazard_map_visual_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:514,pagina,report/hazard_map_visual.html,org_pk,0,0
report,precursor_report_values_view,/report/reports/<int:org_pk>/precursor-values-list/<int:precusor_pk>/,report.views.reports_org.PrecursorReportValuesView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/precursor_report_values_view.html,org_pk|precusor_pk,0,0
report,donations_report,/report/reports/<int:org_pk>/donations-report/,report.views.reports_org.DonationReportView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,api-precursor-report-values-list,/report/api/reports/<int:org_pk>/precusor/<int:precusor_pk>/^api_precursor_report_values/$,report.api.views.PrecursorReportValuesViewSet,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,org_pk|precusor_pk,0,0
